7.2,30,-,組織は、品質マネジメントシステムのパフォーマンスと有効性に影響を与える業務をその管理下で行う人々に必要な力量を明確にするために、何を行わなければならないか?,選択肢a：業務内容と目標を定義する,選択肢b：教育・訓練・経験の基準を設定する,選択肢c：aとbの両方を行う,c,要求事項の適合した例：組織は、各部門や職種ごとに業務内容と目標を文書化し、教育・訓練・経験の基準を設定し、人事評価や教育計画に反映させる。要求事項の適合していない例：組織は、業務内容と目標を個々の従業員に任せ、教育・訓練・経験の基準も明確にしない。箇条要求事項の概要詳細解説：この要求事項は、組織が力量を必要とする業務を特定し、それらの業務に対応する力量のレベルや方法を規定することを求めている。これにより、人々が力量を備えていることを確実にし、品質マネジメントシステムのパフォーマンスと有効性を向上させることができる。
7.2,31,-,組織は、適切な教育・訓練・経験にもとづいて、品質マネジメントシステムのパフォーマンスと有効性に影響を与える業務をその管理下で行う人々が力量を備えていることを確実にするために、何を行わなければならないか?,選択肢a：人々の力量を定期的に評価し、不足分を補うための処置を講じる,選択肢b：人々の力量の証拠として文書化した情報（記録）を保持する,選択肢c：aとbの両方を行う,c,要求事項の適合した例：組織は、人々の力量に関する基準や評価方法を文書化し、定期的に実施し、記録する。また、評価結果に基づいて教育・訓練・経験などの処置を計画し、実施し、記録する。要求事項の適合していない例：組織は、人々の力量に関する基準や評価方法が不明確であり、記録も不十分である。また、処置も計画的に行わず、効果測定もしない。箇条要求事項の概要詳細解説：この要求事項は、組織が人々の力量を客観的かつ定期的に評価し、不足分があれば教育・訓練・経験などで補うことを求めている。また、力量や処置に関する文書化した情報（記録）を保持することで、力量管理の履歴や効果が追跡可能になることも求めている。
7.2,32,-,組織は、必要な力量を身につけるための処置（例：教育訓練）をとり、とった処置の有効性を評価する際に、何を考慮しなければならないか?,選択肢a：顧客及びその他利害関係者から得られたフィードバック,選択肢b：顧客及びその他利害関係者から得られたクレーム,選択肢c：顧客及びその他利害関係者から得られた契約,a,要求事項の適合した例：組織は、顧客やその他利害関係者から得られたフィードバック（例：顧客満足度調査，品質監査，サプライヤ評価，市場調査等）を分析し，人々の力量や処置に関する改善点や効果測定方法を特定する。要求事項の適合していない例：組織は，顧客やその他利害関係者から得られたフィードバック（例：クレーム，苦情，契約不履行等）だけに注目し，人々の力量や処置に関する予防的な改善活動や効果測定方法を見落とす。箇条要求事項の概要詳細解説：この要求事項は，組織が必要な力量を身につけるための処置（例：教育訓練）をとり，とった処置の有効性を評価する際に，顧客及びその他利害関係者から得られたフィードバック（例：顧客満足度調査，品質監査，サプライヤ評価，市場調査等）も考慮しなければならないことを求めている。これは，外部から見た人々の力量や処置の影響や効果が重要であることを示している。
7.2,33,-,組織は、力量を必要とする業務を特定する際に、何を参考にしなければならないか?,選択肢a：品質マネジメントシステムの文書化した情報（例：品質方針，品質目標，プロセス図，手順書等）,選択肢b：品質マネジメントシステムのパフォーマンスと有効性に影響を与える業務（例：製品設計，製造，検査，監査，改善等）,選択肢c：品質マネジメントシステムのリスクと機会（例：失敗モードと効果分析，リスク分析，リスク対策等）,b,要求事項の適合した例：組織は、品質マネジメントシステムのプロセス図や手順書などを参照し、各プロセスや活動が品質マネジメントシステムのパフォーマンスと有効性にどのように影響を与えるかを分析する。そして、影響の大きさや重要度に応じて、力量を必要とする業務を特定する。要求事項の適合していない例：組織は、品質マネジメントシステムの文書化した情報やリスクと機会だけに基づいて、力量を必要とする業務を特定する。しかし、文書化した情報やリスクと機会は、業務の影響や重要度を十分に反映していないことがある。箇条要求事項の概要詳細解説：この要求事項は、組織が力量を必要とする業務を特定する際に、品質マネジメントシステムのパフォーマンスと有効性に影響を与える業務（例：製品設計，製造，検査，監査，改善等）を参考にしなければならないことを求めている。これは、力量管理プロセスが品質マネジメントシステムの目的や結果に直接関係することを示している。
7.2,34,-,組織は、人々が力量を備えていることを確実にするために、何を行わなければならないか?,選択肢a：人々に対して教育・訓練・経験などの処置を提供し、その内容や方法を文書化した情報（記録）として保持する,選択肢b：人々に対して教育・訓練・経験などの処置を提供し、その内容や方法だけでなく、その効果や成果も文書化した情報（記録）として保持する,選択肢c：人々に対して教育・訓練・経験などの処置を提供し、その内容や方法だけでなく、その効果や成果も顧客及びその他利害関係者に報告する,b,要求事項の適合した例：組織は、人々に対して教育・訓練・経験などの処置を提供し、その内容や方法を文書化した情報（記録）として保持する。また、処置後に人々の力量やパフォーマンスが向上したかどうかを評価し、その結果も文書化した情報（記録）として保持する。要求事項の適合していない例：組織は、人々に対して教育・訓練・経験などの処置を提供し、その内容や方法を文書化した情報（記録）として保持する。しかし、処置後に人々の力量やパフォーマンスが向上したかどうかを評価しないか、評価してもその結果を文書化した情報（記録）として保持しない。箇条要求事項の概要詳細解説：この要求事項は、組織が人々が力量を備えていることを確実にするために、人々に対して教育・訓練・経験などの処置を提供し、その内容や方法だけでなく、その効果や成果も文書化した情報（記録）として保持しなければならないことを求めている。これは、処置が人々の力量やパフォーマンスにどのように影響したかを客観的かつ追跡可能にすることで、力量管理プロセスの有効性や改善点が明らかになることを示している。
7.2,35,-,組織は、力量管理プロセスの有効性を評価する際に、何を行わなければならないか?,選択肢a：力量管理プロセスの入力と出力を比較し、差異やギャップを分析する,選択肢b：力量管理プロセスの出力と品質マネジメントシステムのパフォーマンスや有効性を比較し、関連性や影響度を分析する,選択肢c：力量管理プロセスの出力と顧客及びその他利害関係者から得られたフィードバックを比較し、満足度や信頼性を分析する,b,要求事項の適合した例：組織は、力量管理プロセスの出力（例：人々の力量，パフォーマンス，成果等）と品質マネジメントシステムのパフォーマンスや有効性（例：品質方針，品質目標，プロセス指標，製品特性，顧客満足度等）を比較し、関連性や影響度を分析する。例えば，人々の力量が向上したことで，製品不良率が低下したかどうか，人々のパフォーマンスが向上したことで，顧客満足度が向上したかどうかなどを検証する。要求事項の適合していない例：組織は、力量管理プロセスの入力（例：業務内容，目標，基準等）と出力（例：人々の力量，パフォーマンス，成果等）を比較し、差異やギャップを分析する。しかし，これだけでは，力量管理プロセスが品質マネジメントシステムのパフォーマンスや有効性にどのように貢献しているかを評価できないことがある。箇条要求事項の概要詳細解説：この要求事項は，組織が力量管理プロセスの有効性を評価する際に，力量管理プロセスの出力と品質マネジメントシステムのパフォーマンスや有効性を比較し，関連性や影響度を分析しなければならないことを求めている。これは，力量管理プロセスが品質マネジメントシステムの目的や結果に寄与することを確認し，改善点や改善効果を明らかにすることが重要であることを示している。
7.2,36,-,組織は、人々に対して教育・訓練・経験などの処置を提供する際に、何を考慮しなければならないか?,選択肢a：人々の個人的な興味や希望,選択肢b：人々の現在および将来的な業務内容や目標,選択肢c：人々の年齢や性別,b,要求事項の適合した例：組織は、人々に対して教育・訓練・経験などの処置を提供する際に、人々の現在および将来的な業務内容や目標を考慮する。例えば，現在製造工程で働いている人々に対しては，製造技術や品質管理方法などの処置を提供し，将来設計部門に異動する可能性がある人々に対しては，製品設計や開発方法などの処置も提供する。要求事項の適合していない例：組織は、人々に対して教育・訓練・経験などの処置を提供する際に、人々の個人的な興味や希望だけに基づいて決定する。例えば，現在製造工程で働いている人々に対しても，製品設計や開発方法などの処置を提供するが，それらは人々の業務内容や目標と関係がないことがある。箇条要求事項の概要詳細解説：この要求事項は，組織が人々に対して教育・訓練・経験などの処置を提供する際に，人々の現在および将来的な業務内容や目標を考慮しなければならないことを求めている。これは，処置が人々の業務遂行能力やキャリア開発に有効であることを確保することが重要であることを示している。
7.2,37,-,組織は、力量管理プロセスの改善を行う際に、何を行わなければならないか?,選択肢a：力量管理プロセスの有効性評価結果やフィードバックを分析し、改善点や改善方法を特定する,選択肢b：力量管理プロセスの有効性評価結果やフィードバックだけでなく、品質マネジメントシステムのパフォーマンスや有効性に関するデータも分析し、改善点や改善方法を特定する,選択肢c：力量管理プロセスの有効性評価結果やフィードバックだけでなく、顧客及びその他利害関係者から得られたフィードバックも分析し、改善点や改善方法を特定する,b,要求事項の適合した例：組織は、力量管理プロセスの有効性評価結果やフィードバックだけでなく、品質マネジメントシステムのパフォーマンスや有効性に関するデータ（例：品質方針，品質目標，プロセス指標，製品特性，顧客満足度等）も分析し、改善点や改善方法を特定する。例えば，人々の力量が向上したことで，品質目標が達成されたかどうか，人々のパフォーマンスが向上したことで，顧客満足度が向上したかどうかなどを検証する。要求事項の適合していない例：組織は、力量管理プロセスの有効性評価結果やフィードバックを分析し、改善点や改善方法を特定する。しかし，これだけでは，力量管理プロセスが品質マネジメントシステムのパフォーマンスや有効性にどのように貢献しているかを検証できないことがある。箇条要求事項の概要詳細解説：この要求事項は，組織が力量管理プロセスの改善を行う際に，力量管理プロセスの有効性評価結果やフィードバックだけでなく，品質マネジメントシステムのパフォーマンスや有効性に関するデータも分析し，改善点や改善方法を特定しなければならないことを求めている。これは，力量管理プロセスが品質マネジメントシステムの目的や結果に対してどのような付加価値を提供しているかを確認し，改善効果や優先順位を明らかにすることが重要であることを示している。
7.2,38,-,組織は、力量管理プロセスに関する文書化した情報（記録）を保持する際に、何を行わなければならないか?,選択肢a：文書化した情報（記録）の保持期間や保管場所を規定する,選択肢b：文書化した情報（記録）の保持期間や保管場所だけでなく、責任者やアクセス権限も規定する,選択肢c：文書化した情報（記録）の保持期間や保管場所だけでなく、識別方法や検索方法も規定する,b,要求事項の適合した例：組織は、力量管理プロセスに関する文書化した情報（記録）を保持する際に、保持期間や保管場所だけでなく、責任者やアクセス権限も規定する。例えば，人事部が力量管理プロセスに関する文書化した情報（記録）の管理責任者となり，アクセス権限を持つ人々を明確にする。要求事項の適合していない例：組織は、力量管理プロセスに関する文書化した情報（記録）を保持する際に、保持期間や保管場所を規定する。しかし，責任者やアクセス権限が不明確であり，文書化した情報（記録）の管理が不十分であることがある。箇条要求事項の概要詳細解説：この要求事項は，組織が力量管理プロセスに関する文書化した情報（記録）を保持する際に，保持期間や保管場所だけでなく，責任者やアクセス権限も規定しなければならないことを求めている。これは，文書化した情報（記録）が適切に管理され，必要なときに利用できるようにすることが重要であることを示している。
7.2,39,-,組織は、力量管理プロセスに関する文書化した情報（記録）を保持する際に、何を遵守しなければならないか?,選択肢a：組織の文書化した情報管理手順,選択肢b：組織の文書化した情報管理手順だけでなく、顧客や法規制などの外部要求事項も遵守する,選択肢c：組織の文書化した情報管理手順だけでなく、ISO 9001やIATF 16949などの国際規格も遵守する,b,要求事項の適合した例：組織は、力量管理プロセスに関する文書化した情報（記録）を保持する際に、組織の文書化した情報管理手順だけでなく、顧客や法規制などの外部要求事項も遵守する。例えば，顧客が力量管理プロセスに関する文書化した情報（記録）の保持期間や保管場所，アクセス権限などについて特別な要求事項を設定している場合，それらを満たすようにする。要求事項の適合していない例：組織は、力量管理プロセスに関する文書化した情報（記録）を保持する際に、組織の文書化した情報管理手順だけを遵守する。しかし，顧客や法規制などの外部要求事項がある場合，それらを無視してしまうことがある。箇条要求事項の概要詳細解説：この要求事項は，組織が力量管理プロセスに関する文書化した情報（記録）を保持する際に，組織の文書化した情報管理手順だけでなく，顧客や法規制などの外部要求事項も遵守しなければならないことを求めている。これは，文書化した情報（記録）が外部からも閲覧されたり，監査されたりする可能性があり，それらに対応できるようにすることが重要であることを示している。
7.2,40,-,組織は、力量管理プロセスに関する文書化した情報（記録）を保持する際に、何を行わなければならないか?,選択肢a：文書化した情報（記録）の保持期間や保管場所だけでなく、責任者やアクセス権限も規定する,選択肢b：文書化した情報（記録）の保持期間や保管場所だけでなく、識別方法や検索方法も規定する,選択肢c：文書化した情報（記録）の保持期間や保管場所だけでなく、改訂履歴や承認者も規定する,b,要求事項の適合した例：組織は、力量管理プロセスに関する文書化した情報（記録）を保持する際に、保持期間や保管場所だけでなく、識別方法や検索方法も規定する。例えば，文書化した情報（記録）には，番号，名称，発行日，発行者などの識別情報を付与し，管理システムやファイリングシステムなどで整理し，必要に応じて容易に検索できるようにする。要求事項の適合していない例：組織は、力量管理プロセスに関する文書化した情報（記録）を保持する際に、保持期間や保管場所だけを規定する。しかし，識別方法や検索方法が不明確であり，文書化した情報（記録）が散在しており，必要なときに見つけられないことがある。箇条要求事項の概要詳細解説：この要求事項は，組織が力量管理プロセスに関する文書化した情報（記録）を保持する際に，保持期間や保管場所だけでなく，識別方法や検索方法も規定しなければならないことを求めている。これは，文書化した情報（記録）が適切に整理され，必要なときに利用できるようにすることが重要であることを示している。
7.2,41,-,組織は、力量管理プロセスに関する文書化した情報（記録）を保持する際に、何を行わなければならないか?,選択肢a：文書化した情報（記録）の保持期間や保管場所だけでなく、識別方法や検索方法も規定する,選択肢b：文書化した情報（記録）の保持期間や保管場所だけでなく、改訂履歴や承認者も規定する,選択肢c：文書化した情報（記録）の保持期間や保管場所だけでなく、配布先や回収方法も規定する,b,要求事項の適合した例：組織は、力量管理プロセスに関する文書化した情報（記録）を保持する際に、保持期間や保管場所だけでなく、改訂履歴や承認者も規定する。例えば，文書化した情報（記録）には，改訂番号，改訂日，改訂者，改訂内容，承認者などの情報を付与し，文書化した情報（記録）の変更履歴や承認状況を明確にする。要求事項の適合していない例：組織は、力量管理プロセスに関する文書化した情報（記録）を保持する際に、保持期間や保管場所だけを規定する。しかし，改訂履歴や承認者が不明確であり，文書化した情報（記録）の正当性や信頼性が低下することがある。箇条要求事項の概要詳細解説：この要求事項は，組織が力量管理プロセスに関する文書化した情報（記録）を保持する際に，保持期間や保管場所だけでなく，改訂履歴や承認者も規定しなければならないことを求めている。これは，文書化した情報（記録）が最新かつ正確であることを確認し，品質マネジメントシステムのパフォーマンスや有効性の証拠としても機能することが重要であることを示している。
7.2,42,-,組織は、力量管理プロセスに関する文書化した情報（記録）を保持する際に、何を行わなければならないか?,選択肢a：文書化した情報（記録）の保持期間や保管場所だけでなく、改訂履歴や承認者も規定する,選択肢b：文書化した情報（記録）の保持期間や保管場所だけでなく、配布先や回収方法も規定する,選択肢c：文書化した情報（記録）の保持期間や保管場所だけでなく、破棄方法や破棄者も規定する,b,要求事項の適合した例：組織は、力量管理プロセスに関する文書化した情報（記録）を保持する際に、保持期間や保管場所だけでなく、配布先や回収方法も規定する。例えば，文書化した情報（記録）には，配布先，配布日，配布者，回収日，回収者などの情報を付与し，文書化した情報（記録）の流通状況を明確にする。要求事項の適合していない例：組織は、力量管理プロセスに関する文書化した情報（記録）を保持する際に、保持期間や保管場所だけを規定する。しかし，配布先や回収方法が不明確であり，文書化した情報（記録）が紛失したり，不正に使用されたりすることがある。箇条要求事項の概要詳細解説：この要求事項は，組織が力量管理プロセスに関する文書化した情報（記録）を保持する際に，保持期間や保管場所だけでなく，配布先や回収方法も規定しなければならないことを求めている。これは，文書化した情報（記録）が適切に配布され，必要なときに回収されるようにすることが重要であることを示している。
7.2,43,-,組織は、力量管理プロセスに関する文書化した情報（記録）を保持する際に、何を行わなければならないか?,選択肢a：文書化した情報（記録）の保持期間や保管場所だけでなく、配布先や回収方法も規定する,選択肢b：文書化した情報（記録）の保持期間や保管場所だけでなく、破棄方法や破棄者も規定する,選択肢c：文書化した情報（記録）の保持期間や保管場所だけでなく、バックアップ方法やバックアップ者も規定する,b,要求事項の適合した例：組織は、力量管理プロセスに関する文書化した情報（記録）を保持する際に、保持期間や保管場所だけでなく、破棄方法や破棄者も規定する。例えば，文書化した情報（記録）には，破棄日，破棄者，破棄方法などの情報を付与し，文書化した情報（記録）の廃棄履歴を明確にする。要求事項の適合していない例：組織は、力量管理プロセスに関する文書化した情報（記録）を保持する際に、保持期間や保管場所だけを規定する。しかし，破棄方法や破棄者が不明確であり，文書化した情報（記録）が不適切に廃棄されたり，漏洩したりすることがある。箇条要求事項の概要詳細解説：この要求事項は，組織が力量管理プロセスに関する文書化した情報（記録）を保持する際に，保持期間や保管場所だけでなく，破棄方法や破棄者も規定しなければならないことを求めている。これは，文書化した情報（記録）が安全かつ適正に廃棄されるようにすることが重要であることを示している。
7.2,44,-,組織は、力量管理プロセスに関する文書化した情報（記録）を保持する際に、何を行わなければならないか?,選択肢a：文書化した情報（記録）の保持期間や保管場所だけでなく、破棄方法や破棄者も規定する,選択肢b：文書化した情報（記録）の保持期間や保管場所だけでなく、バックアップ方法やバックアップ者も規定する,選択肢c：文書化した情報（記録）の保持期間や保管場所だけでなく、更新方法や更新者も規定する,b,要求事項の適合した例：組織は、力量管理プロセスに関する文書化した情報（記録）を保持する際に、保持期間や保管場所だけでなく、バックアップ方法やバックアップ者も規定する。例えば，文書化した情報（記録）には，バックアップ日，バックアップ者，バックアップ方法，バックアップ先などの情報を付与し，文書化した情報（記録）の予備コピーを作成し，災害や事故などに備える。要求事項の適合していない例：組織は、力量管理プロセスに関する文書化した情報（記録）を保持する際に、保持期間や保管場所だけを規定する。しかし，バックアップ方法やバックアップ者が不明確であり，文書化した情報（記録）が紛失したり，破損したりすることがある。箇条要求事項の概要詳細解説：この要求事項は，組織が力量管理プロセスに関する文書化した情報（記録）を保持する際に，保持期間や保管場所だけでなく，バックアップ方法やバックアップ者も規定しなければならないことを求めている。これは，文書化した情報（記録）が安全かつ確実に保存されるようにすることが重要であることを示している。
7.2,45,-,組織は、力量管理プロセスに関する文書化した情報（記録）を保持する際に、何を行わなければならないか?,選択肢a：文書化した情報（記録）の保持期間や保管場所だけでなく、バックアップ方法やバックアップ者も規定する,選択肢b：文書化した情報（記録）の保持期間や保管場所だけでなく、更新方法や更新者も規定する,選択肢c：文書化した情報（記録）の保持期間や保管場所だけでなく、検証方法や検証者も規定する,b,要求事項の適合した例：組織は、力量管理プロセスに関する文書化した情報（記録）を保持する際に、保持期間や保管場所だけでなく、更新方法や更新者も規定する。例えば，文書化した情報（記録）には，更新日，更新者，更新内容，更新理由などの情報を付与し，文書化した情報（記録）の最新性や正確性を維持する。要求事項の適合していない例：組織は、力量管理プロセスに関する文書化した情報（記録）を保持する際に、保持期間や保管場所だけを規定する。しかし，更新方法や更新者が不明確であり，文書化した情報（記録）が古くなったり，誤ったりすることがある。箇条要求事項の概要詳細解説：この要求事項は，組織が力量管理プロセスに関する文書化した情報（記録）を保持する際に，保持期間や保管場所だけでなく，更新方法や更新者も規定しなければならないことを求めている。これは，文書化した情報（記録）が常に最新かつ正確であることを確認し，品質マネジメントシステムのパフォーマンスや有効性の証拠としても機能することが重要であることを示している。
7.2,46,-,組織は、力量管理プロセスに関する文書化した情報（記録）を保持する際に、何を行わなければならないか?,選択肢a：文書化した情報（記録）の保持期間や保管場所だけでなく、更新方法や更新者も規定する,選択肢b：文書化した情報（記録）の保持期間や保管場所だけでなく、検証方法や検証者も規定する,選択肢c：文書化した情報（記録）の保持期間や保管場所だけでなく、承認方法や承認者も規定する,b,要求事項の適合した例：組織は、力量管理プロセスに関する文書化した情報（記録）を保持する際に、保持期間や保管場所だけでなく、検証方法や検証者も規定する。例えば，文書化した情報（記録）には，検証日，検証者，検証内容，検証結果などの情報を付与し，文書化した情報（記録）の妥当性や有効性を確認する。要求事項の適合していない例：組織は、力量管理プロセスに関する文書化した情報（記録）を保持する際に、保持期間や保管場所だけを規定する。しかし，検証方法や検証者が不明確であり，文書化した情報（記録）が正しいかどうかが分からないことがある。箇条要求事項の概要詳細解説：この要求事項は，組織が力量管理プロセスに関する文書化した情報（記録）を保持する際に，保持期間や保管場所だけでなく，検証方法や検証者も規定しなければならないことを求めている。これは，文書化した情報（記録）が正しいかどうかを検証し，品質マネジメントシステムのパフォーマンスや有効性の証拠としても機能することが重要であることを示している。
7.2,47,-,組織は、力量管理プロセスに関する文書化した情報（記録）を保持する際に、何を行わなければならないか?,選択肢a：文書化した情報（記録）の保持期間や保管場所だけでなく、検証方法や検証者も規定する,選択肢b：文書化した情報（記録）の保持期間や保管場所だけでなく、承認方法や承認者も規定する,選択肢c：文書化した情報（記録）の保持期間や保管場所だけでなく、配布方法や配布者も規定する,b,要求事項の適合した例：組織は、力量管理プロセスに関する文書化した情報（記録）を保持する際に、保持期間や保管場所だけでなく、承認方法や承認者も規定する。例えば，文書化した情報（記録）には，承認日，承認者，承認方法，承認内容などの情報を付与し，文書化した情報（記録）の正当性や信頼性を確保する。要求事項の適合していない例：組織は、力量管理プロセスに関する文書化した情報（記録）を保持する際に、保持期間や保管場所だけを規定する。しかし，承認方法や承認者が不明確であり，文書化した情報（記録）が不正に作成されたり，改ざんされたりすることがある。箇条要求事項の概要詳細解説：この要求事項は，組織が力量管理プロセスに関する文書化した情報（記録）を保持する際に，保持期間や保管場所だけでなく，承認方法や承認者も規定しなければならないことを求めている。これは，文書化した情報（記録）が適切に承認されるようにすることが重要であることを示している。
7.2,48,-,組織は、力量管理プロセスに関する文書化した情報（記録）を保持する際に、何を行わなければならないか?,選択肢a：文書化した情報（記録）の保持期間や保管場所だけでなく、承認方法や承認者も規定する,選択肢b：文書化した情報（記録）の保持期間や保管場所だけでなく、配布方法や配布者も規定する,選択肢c：文書化した情報（記録）の保持期間や保管場所だけでなく、利用方法や利用者も規定する,b,要求事項の適合した例：組織は、力量管理プロセスに関する文書化した情報（記録）を保持する際に、保持期間や保管場所だけでなく、配布方法や配布者も規定する。例えば，文書化した情報（記録）には，配布方法，配布先，配布日，配布者，回収日，回収者などの情報を付与し，文書化した情報（記録）の流通状況を明確にする。要求事項の適合していない例：組織は、力量管理プロセスに関する文書化した情報（記録）を保持する際に、保持期間や保管場所だけを規定する。しかし，配布方法や配布者が不明確であり，文書化した情報（記録）が不適切に配布されたり，回収されなかったりすることがある。箇条要求事項の概要詳細解説：この要求事項は，組織が力量管理プロセスに関する文書化した情報（記録）を保持する際に，保持期間や保管場所だけでなく，配布方法や配布者も規定しなければならないことを求めている。これは，文書化した情報（記録）が適切に配布されるようにすることが重要であることを示している。