no,supplier_name,manufacturer_name,iso_existence,target,qms,second_party_audit,supplier_development,automotive_related,departments,transaction_details,address1,address2,postal_code,tel,fax,filename,document_name,issue_date,feedback_date
85,（株）ミヤタ,三菱アルミニウム,ISO9001取得有り,〇,〇,△,？,〇,加工課,材料,大田区中央３丁目２１－１１,,143-0024,033-773-7711,033-773-7710,,,,
85,（株）ミヤタ,同和メタニクス,ISO9001取得有り,〇,〇,△,？,,加工課,材料,,,,,,,,,
85,（株）ミヤタ,片木アルミ,ISO9001取得無し,〇,〇,〇,？,,加工課,材料,,,,,,"取引先評価表_片木アルミニューム製作所.pdf,購買先品質監査チェックシート兼対策書_片木アルミニューム製作所 .xls","取引先評価表_片木アルミニューム製作所,購買先品質監査チェックシート兼対策書_片木アルミニューム製作所",,
589,㈱東電化,製品めっき(材料先メッキ）,ISO9001取得有り,〇,〇,△,？,〇,加工課,フープメッキ,,,,,,,,,
1055,阪和興業（株）,ＣＳＡＣ(台湾メーカー),ISO9001取得有り,〇,〇,△,？,〇,加工課,材料,-,-,-,03-3544-2329,03-3544-2148,,,,
79,（株）ミスミ,金型パーツ,ISO9001取得無し,〇,×,×,？,〇,工場全般,消耗品・自動機部品・金型部品,横浜市神奈川区鶴屋町3-31-5,久保田ビル4F,221-0831,045-324-1141,045-324-0252,,,,
95,新日本精機㈱,システム管理,ISO9001取得無し,〇,×,△,？,〇,加工課,内職,平塚市大島1294-1,,254-0001,0463-51-1010,0463-54-5827,供給先評価表様式　新日本化成.xls,供給先評価表,,
969,東栄電化工業㈱,アルマイト外注,ISO9001取得有り,〇,〇,△,？,〇,加工課,アルマイト,相模原市中央区小町通2-5-9,,,042-771-1528,042-773-4032,,,,
259,日本パ－カライジング㈱,表面処理用薬品,ISO9001取得有り,〇,×,×,？,〇,加工課,薬品,平塚市堤町３－９,,254-0027,0463-22-5751,0463-23-6910,,,,
928,新日本化成㈱,表面処理用薬品,ISO9001取得有り,〇,×,×,？,〇,加工課,薬品,厚木市中依知348-1,,243-0805,046-210-3999,046-245-4125,,,,
377,東海鋼鉄㈱,金型のプレートの購入,ISO9001取得無し,〇,×,×,？,〇,技術部,プレート,綾瀬市吉岡278,,,0467-78-0721,0467-76-2747,供給先評価表様式　東海鋼鉄.xlsx,供給先評価表,,
363,藤沢紙工㈱,製品保護のためのジャバラ紙,ISO9001取得無し,×,×,×,？,〇,加工課,パーチメント紙 ・コーナーアングル,茅ヶ崎市中島1158-6,,253-0073,0467-58-2600,0467-58-2607,221221 藤沢紙工㈱供給先評価表様式.xls,供給先評価表,,
260,パンチ工業　㈱,金型のパンチ等購入,ISO9001取得有り,〇,×,×,？,〇,技術部,金型パーツ,本）品川区南大井6-22-7大森ベルポートＥ-5Ｆ,,,（045）904-8007,045-904-8011,,,,
473,㈱橋本工商,工作機械・工具など,ISO9001取得無し,〇,×,×,？,〇,技術部,消耗品工具,相模原市中央区高根1-14-7,,252-0221,042-759-4001,042-759-4003,,,,
1056,東京プロト㈱,梱包製品トレイ,ISO9001取得有り,〇,×,×,？,〇,加工課,トレイ,横浜市港北区樽町3-1-1,,222-0001,045-543-0141,045-562-9882,,,,
62,日興運送（株）,運送,ISO9001取得無し,〇,×,△,？,〇,加工課,輸送,茨城県土浦市荒川沖東2-10-34,,300-1171,0298-41-2138,0298-41-1966,,,,
683,日本アレックス㈱,超音波振動子ユニット,ISO9001取得無し,〇,×,×,？,〇,加工課,超音波,,,,,,,,,
983,タイヨー㈱,製品梱包段ボール,ISO9001取得有り,〇,×,△,？,〇,加工課,段ボール,神奈川県厚木市温水1961,,243-0033,046-248-8511,046-247-3357,,,,
447,㈱キーエンス,測定器,ISO9001取得無し,〇,×,×,？,〇,生産技術,自動機部品,海老名市中央2-9-50,海老名プライムタワー13Ｆ,243-0432,046-236-0755,046-236-0766,,,,
130,ミドリ安全厚木㈱,作業着、帽子、安全靴の商社,ISO9001取得無し,×,×,×,×,〇,工場全般,作業,厚木市水引2-11-2,,243-0004,046-223-1771,046-223-6377,,,,
83,リヒト精光（株）,金型パーツの焼き入れ業者,ISO9001取得有り,〇,×,×,？,〇,技術部,熱処理,厚木市下依知1-12-23,,243-0806,046-245-1611,046-245-1610,,,,
141,新共立化工㈱,表面処理ライン保守などのパーツ,ISO9001取得無し,〇,×,×,？,〇,加工課,塩ビ板　,埼玉県川口市上青木,2丁目22番6号,333,048-269-2726,048-267-7382,,,,
1062,㈱モノタロウ,部品など,ISO9001取得無し,〇,〇,×,？,〇,工場全般,消耗品,兵庫県尼崎市竹谷町2-183,リベル3階,660-0876,0120-443-509,0120-289-888,,,,
73,双葉電子工業（株）,金型のプレートの購入,ISO9001取得有り,〇,×,×,？,〇,技術部,プレート,東京都墨田区堤通一丁目19番9号,リバーサイド隅田セントラルタワー16階,131-0034,03-3616-1730,03-3616-1731,供給先評価表様式_双葉電子工業.xls,供給先評価表,,
140,トヨタエルアンドエフ,フォークリスト、海外出荷用パレット,ISO9001取得有り,〇,×,×,×,〇,加工課,フォークリフト・パレット,厚木市金田６８８－１,,243-0807,046-224-1231,046-224-1237,,,,
549,イースタン技研㈱,ワイヤー電極線,ISO9001取得有り,〇,×,×,,〇,技術部,消耗品,大和市福田6-9-21,,242-0024,046-268-3131,046-268-2284,,,,
334,東京ワイジェーエス販売,商社　色々なものを購入している,ISO9001取得無し,〇,〇,△,,〇,技術部,加工機部品,藤沢氏本藤沢3-5-17,,251-0875,0466-80-6160,0466-80-6260,購買先評価表（ミツイ精密）YJS.xlsx,購買先評価表,,
1053,ＭＩＣＳ化学,製品梱包包装用ビニール,ISO9001取得有り,〇,×,×,？,〇,加工課,ﾋﾞﾆｰﾙ袋,愛知県愛知郡東郷町諸輪北山158-89,-,470-0151,03-3667-6788,03-3667-6789,,,,
464,㈱共立合金製作所,金型用プレート,ISO9001取得有り,〇,×,×,,〇,技術部,超硬材,,,,0798-26-3606,0798-37-2067,供給先評価表様式_(003)㈱（共立合金製作所記入）.xls,供給先評価表,,
1047,㈱マルアイ,製品梱包包装用ビニール,ISO9001取得有り,〇,×,×,？,〇,加工課,ﾋﾞﾆｰﾙ袋,-,-,-,-,055-272-4481,,,,
64,日本工作油（株）,プレスオイルなど,ISO9001取得無し,〇,×,×,？,〇,加工課,抜き油、工作油,東京都港区芝5-29-14,田町日工ビル,108,033-455-5511,033-453-2667,(日本工作油株式会社)供給先評価表様式.xlsx,供給先評価表,,
347,共栄研磨材㈱,砥石,ISO9001取得無し,〇,×,×,,〇,技術部,砥石,大和市大和東３－４－２０,,242-0017,046-261-1610,046-264-2077,,,,
190,ファナック㈱,ワイヤー設備メーカー,ISO9001取得有り,〇,×,×,？,〇,技術部,消耗品,日野市旭が丘３丁目５,,191,0425-84-1111,0425-82-3593,,,,
349,㈱アイコー,表面処理工程用　治具パーツ,ISO9001取得無し,〇,×,×,？,〇,加工課,治具部品,相模原市田名3304－1,,229-1124,042-760-2017,042-760-2014,供給先評価表様式　アイコー.xls,供給先評価表,,
525,エィテーケィタカシノ㈱,エジェクターピン,ISO9001取得有り,〇,×,×,,〇,技術部,金型パーツ,東京都品川区西五反田4-23-13,,141-0031,050-3153-0989,03-6367-0008,,,,
440,フジケース㈱,製品梱包包装用ビニール,ISO9001取得有り,〇,×,△,？,〇,加工課,ウエス,,,,,0463953931,,,,
841,東京フィルター販売㈱,表面処理設備用フィルター,ISO9001取得無し,〇,×,×,？,〇,加工課,フィルタ,東京都世田谷区桜新町2-20-14,,154-0015,03-3425-3351,03-3425-5633,,,,
336,大和石油㈱,切削油　など,ISO9001取得有り,〇,×,△,？,〇,加工課,抜き油、工作油,高座郡寒川町小動８９１－１０,,,0467-74-8861,0467-74-3705,,,,
1076,㈱包研,ストレッチフィルム、PPバンド,ISO9001取得無し,〇,×,×,,〇,加工課,ストレッチフィルム,福岡市東区松田,1丁目10番16号,812-0064,092-611-5600,092-611-5933,,,,
37,（株）三松,表面処理薬品商社：ユケン工業㈱,ISO9001取得無し,〇,×,×,？,〇,加工課,薬品,東京都大田区西蒲田7-57-11,,144-0051,033-733-7131,033-739-0321,供給先評価表様式　三松.xls,供給先評価表,,
1095,日本ケミカル電子㈱,試作品のめっき,ISO9001取得有り,〇,〇,△,×,△,加工課,メッキ,-,-,-,0561-54-1234,0561-54-9101,,,,
136,(㈱ツ－ルメ－ルクラブ,金型パーツ,ISO9001取得無し,〇,×,×,？,〇,技術部,工具,東京都大田区大森中１－１８－１６,,143-8533,03-3765-1228,0120-65-1215,,,,
725,東横化学 ㈱,評価用ガス,ISO9001取得有り,〇,×,×,？,〇,加工課,ＰＲガス,,,,,,,,,
779,タツタ環境分析センター,水質分析,ISO9001取得有り,〇,×,×,,〇,加工課,水質分析,,,,,,,,,
536,㈱コードー,三井住友金属鉱山伸銅㈱　C1100R-H　0.80*12　最終購入年月日2018/12/18　,ISO9001取得有り,〇,〇,△,,〇,加工課,材料,,,,,,,,,
475,ソマックス㈱,金型洗浄剤,ISO9001取得無し,〇,×,×,,〇,技術部,消耗品,,,,,,,,,
450,㈱山田ドビー,プレス機械メーカー　保守部品等,ISO9001取得有り,〇,×,×,？,〇,加工課,設備,,,,,,,,,
526,㈱湘南ワイパーサプライ,ニトリル手袋、ハンドクリーナー等,ISO9001取得無し,×,×,×,,〇,加工課,ニトリル手袋,,,,045-803-6155,045-804-6795,,,,
159,コマツ産機㈱,プレス機メーカー　保守部品等,ISO9001取得有り,〇,×,×,,〇,加工課,消耗品,相模原市中央1-1-1　　,協栄生命相模原ビル3Ｆ,229-0039,042-768-4536,048-499-3005,,,,
234,オルガノ㈱,表面処理設備の純水装置（イオン交換樹脂）,ISO9001取得無し,〇,×,×,？,〇,加工課,消耗品,千葉県船橋市潮見町８,,,047-434-0715,0466-97-3502,,,,
59,（株）テラオカ神奈川西支店,計量器,ISO9001取得無し,〇,×,×,？,〇,加工課,計量器,厚木市南町13-19,,243,046-229-2250,046-229-3380,,,,
764,東莞美対精密電子有限公司,エンボステープ,ISO9001取得有り,〇,X,X,,〇,加工課,,,,,,,,,,
874,㈱　トミタ,MITUTOYO原器の構成等,,,,,,〇,加工課,,伊勢原市高森3-1-4,-,259-11,0463-91-3250,0463-91-3256,,,,
926,テルヤ電機 (株),自動機用パーツ,ISO9001取得無し,〇,X,X,,〇,技術部,,神奈川県平塚市幸町19-2,,254-0804,0463-21-5151,0463-23-5133,,,,
15,（株）イイダ,商社　色々なものを購入している,ISO9001取得無し,,,,,〇,工場全般,消耗品・他,厚木市妻田西1-31-40,,243-0813,046-223-3401,046-223-2474,,,,
64,日本工作油（株）,打ち抜き油、加工油,,,,,,〇,工場全般,,東京都港区芝5-29-14,田町日工ビル,108,033-455-5511,033-453-2667,,,,
418,東京材料㈱,PP材料（成形材料）石塚化学は評価対象,ISO9001取得有り,〇,X,X,,〇,加工課,,千代田区丸の内1-6-2,,,03-5219-2183,03-5219-2195,,,,
725,東横化学 ㈱,PRガス,ISO9001取得有り,,,,,,加工課,PRガス,,,,,,,,,
835,㈱アマダマシンツール,プレス修理,,〇,×,×,？,〇,加工課,,神奈川県伊勢原市石田200,,259-1196,0463-96-3471,0463-96-3472,,,,
165,㈱アマダプレステック,グリス,,〇,×,×,？,〇,加工課,,神奈川県伊勢原市石田200,,,0463-32-4813,,,,,
442,㈱モールドテック,成形型レーザー刻印等,ISO9001取得有り,〇,X,X,,〇,技術部,成形型レーザー刻印,埼玉県北足立郡伊奈町西小針６－１８,,362-0811,048-727-0061,048-727-0062,,,,